key,alt,answer,audio
風格,"fēnggé (風格, 风格)","plan, signature, idiom, kind, aroma, manner, idiosyncrasy, negligence, style, mode, tone, expressive style, artistic style, touch",top2/210.mp3
難以,"nányǐ (難以, 难以)",be difficult to,top2/211.mp3
機關,"jīguān (機關, 机关)","mechanism, stratagem, scheme, intrigue",top2/212.mp3
情緒,"qíngxù (情緒, 情绪)","form, pulse, humor, depression, temper, feeling, spirits, monkey, emotion, sentiment, humour, soulfulness, mood, heartbeat, heartstrings, sulks, chord, vein, feelings, emotional state, spirit, frame_of_mind, sentiments, moodiness, emotions, steam, tune, soul",top2/213.mp3
勞工,"láogōng (勞工, 劳工)","work_force, navvy, galley slave, manual laborer, labor, mazdoor, peon, proletariat, working class, laborer, worker, workman, industrialist, labour, drudge, workingman, labourer",top2/214.mp3
一旦,"yīdàn (一旦, 一旦)","conj.: once,  some time or other",top2/215.mp3
多媒體,"duōméitǐ (多媒體, 多媒体)",multi media,top2/216.mp3
求,"qiú (求, 求)","seek, try, strive for",top2/217.mp3
絕對,"juéduì (絕對, 绝对)","absolutely, definitely",top2/218.mp3
資料庫,"zīliàokù (資料庫, 资料库)","data bank, database, data base, databank",top2/219.mp3
選舉,"xuǎnjǔ (選舉, 选举)",election,top2/220.mp3
不可能,"bùkěnéng (不可能, 不可能)",impossibly,top2/221.mp3
馬上,"mǎshàng (馬上, 马上)","in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout de suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f",top2/222.mp3
說話,"shuōhuà (說話, 说话)","philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say",top2/223.mp3
享受,"xiǎngshòu (享受, 享受)",enjoy,top2/224.mp3
工廠,"gōngchǎng (工廠, 工厂)","layout, mill, factory, remuneration, workshop, industrial plant, plant, hacienda, manufactory, works, shop",top2/225.mp3
食物,"shíwù (食物, 食物)","scran, board, ingesta, sustentation, provender, viand, chow, aliment, pabulum, edibles, prog, nurture, cheer, eatable, edible, alimentary, eatables, chowchow, nutrient, diet, bread, trencher, sustenance, nutriment, nosh, nutrition, victuals, cib., vivers, eating, toke, meat, cib, grub, peck, viands, comestible, nourishment, fare, victual, food, commons, fodder, scoff, victualage, muckamuck, ta",top2/226.mp3
消息,"xiāoxí (消息, 消息)","communication, witting, message, item, news, peep, info, intelligence, notice, information, advertisement, tidings, advert, word",top2/227.mp3
番,"fān (番, 番)",m.[event],top2/228.mp3
趨勢,"qūshì (趨勢, 趋势)","stream, gravitation, tendency, wind, tide, drift, sequel, trend, current, direction, inclination, tendence, momentum, flow",top2/229.mp3
房子,"fángzi (房子, 房子)","building of less than three stories , room, building, property, house",top2/230.mp3
觀點,"guāndiǎn (觀點, 观点)","view, aspect, stand, point_of_view, light, eyes, framework, sentiment, bet, standpoint, point of view, eye, viewpoint, slant, perspective, position, angle",top2/231.mp3
購買,"gòumǎi (購買, 购买)","invest, take, buy, make purchases, go shopping, purchase",top2/232.mp3
普遍,"pǔbiàn (普遍, 普遍)","universal, general, widespread, common",top2/233.mp3
設立,"shèlì (設立, 设立)","establish, found",top2/234.mp3
差異,"chāyì (差異, 差异)","gap, departure, spread, variance, divergence, difference, diversity, discrepancy, imparity, disparity, contrast, interval, differentia, distinction",top2/235.mp3
差,"chā (差, 差)","be short, lack",top2/236.mp3
另外,"lìngwài (另外, 另外)","in addition, moreover, besides",top2/237.mp3
統一,"tǒngyī (統一, 统一)","unify, unite, integrate",top2/238.mp3
青年,"qīngnián (青年, 青年)","young people, adolescent, youngster, springal, boy, youth, youths, stripling, young, hobbledehoy, younker",top2/239.mp3
行政院,"xíngzhèngyuàn (行政院, 行政院)",Executive Yuan,top2/240.mp3
規模,"guīmó (規模, 规模)","magnitude, dimensions, extent, scale, scope",top2/241.mp3
股,"gǔ (股, 股)",m.[general],top2/242.mp3
破壞,"pòhuài (破壞, 破坏)","violate, destroy",top2/243.mp3
想要,"xiǎngyào (想要, 想要)","please, wish, like, desire, desirable, desiderate, purport, feel_like, wish well, propose, desired, purpose, direct, want to, feel like, aim, want, calculate",top2/244.mp3
換,"huàn (換, 换)","adjourn, barter, exchange, commute, reseat, trade, conversion, convert, change",top2/245.mp3
選,"xuǎn (選, 选)","select, pick, elect, choose, take, pick out, van",top2/246.mp3
人力,"rénlì (人力, 人力)","strength, manpower, resources, manual labor",top2/247.mp3
水準,"shuǐzhǔn (水準, 水准)","level, plane, standard",top2/248.mp3
首,"shǒu (首, 首)",m.[general],top2/249.mp3
河川,"héchuān (河川, 河川)","river and creek, rivers, river",top2/250.mp3
文字,"wénzì (文字, 文字)","writing, phraseology, writing style, language, endearment, script, written language, text, writing phraseology, writing style/phraseology, character, textual, characters, symbolic representation, version, word sign, literal, letter, word, literalness",top2/251.mp3
立即,"lìjí (立即, 立即)","at_once, off hand, promptly, at once, down, instantly, directively, straightway, herewith, thereupon, ex tempore, without_delay, pronto, right_away, instant, straight, immediately, in_short_order, right away, instanter, straightaway, in short order, off the",top2/252.mp3
適當,"shìdàng (適當, 适当)","beseem, proper, suitable, suit",top2/253.mp3
醫師,"yīshī (醫師, 医师)","medico, MD, Aesculapius, physician, hakim, leech, Dr., powwow, medic, Aesculapian, doc, doctor",top2/254.mp3
屬,"shǔ (屬, 属)","belong, be born in the year of, belong to, be subordinate to, be",top2/255.mp3
重,"zhòng (重, 重)","heavy, weighty, important, considerable in amount/value",top2/256.mp3
就是說,"jiùshìshuō (就是說, 就是说)","that is to say, in other words, namely",top2/257.mp3
結婚,"jiéhūn (結婚, 结婚)","middle aisle, intermarry, mate, conjoin, get married, couple, married, espouse, pair, marry, unite, get_married, get hitched with, spouse, splice, hook up with, wed",top2/258.mp3
有,"yǒu (有, 有)","be, exist, also",top2/259.mp3
日子,"rìzi (日子, 日子)","yom, day, a particular day, livelihood, life, date, days, time",top2/260.mp3
非,"fēi (非, 非)","run counter to, not conform to",top2/261.mp3
貿易,"màoyì (貿易, 贸易)","deal, carriage trade, trade, business, commerce",top2/262.mp3
相當,"xiāngdāng (相當, 相当)","match, balance, correspond to, be equal to",top2/263.mp3
參觀,"cānguān (參觀, 参观)","visit,  tour",top2/264.mp3
公開,"gōngkāi (公開, 公开)","bare, air, unclose, publish, come_out, make known to the public, publicize, divulgate, overt, publicise, public, disclosure, make known to public, unfurl, make public",top2/265.mp3
順利,"shùnlì (順利, 顺利)","smooth, successful, without a hitch",top2/266.mp3
男,"nán (男, 男)","baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son",top2/267.mp3
銷售,"xiāoshòu (銷售, 销售)","sell, market",top2/268.mp3
辦,"bàn (辦, 办)","punish by law , manage, get ... ready, set_up, buy a fair amount of, set up, run, management, handle, tackle, attend to, do, punish, bring ... to justice",top2/269.mp3
維護,"wéihù (維護, 维护)","safeguard, defend, uphold",top2/270.mp3
投入,"tóurù (投入, 投入)",throw/put into,top2/271.mp3
稱,"chēng (稱, 称)",call,top2/272.mp3
加上,"jiāshàng (加上, 加上)",add into,top2/273.mp3
民進黨,"mínjìndǎng (民進黨, 民进党)",Democratic Progressive Party,top2/274.mp3
必,"bì (必, 必)","surely, must, certainly, have to, necessarily",top2/275.mp3
自由,"zìyóu (自由, 自由)","freedom, liberty",top2/276.mp3
有限,"yǒuxiàn (有限, 有限)","limited, finite",top2/277.mp3
預算,"yūsuàn (預算, 预算)","estimate, forethought, budget, estimation, budgetary",top2/278.mp3
計算,"jìsuàn (計算, 计算)","count, calculate, compute",top2/279.mp3
效率,"xiàolù (效率, 效率)","sufficiency, effectualness, effectuality, productiveness, usefulness, efficiency, effectivity, effectiveness",top2/280.mp3
樣子,"yàngzi (樣子, 样子)","tendency, pattern, form, manner, likelihood, way, resemblance, semblance, sample, guise, fashion, wise, model, air, mien, appearance, shape, suggestion, gesture, sort",top2/281.mp3
訪問,"fǎngwèn (訪問, 访问)","visit, call on, interview",top2/282.mp3
位於,"wèiyú (位於, 位于)","be situated, situated, locate, precede, lie, come, nestle, subsist, underlie, sit, be located, skirt, rank",top2/283.mp3
接觸,"jiēchù (接觸, 接触)","come into contact with, get in touch with, engage, contact",top2/284.mp3
流行,"liúxíng (流行, 流行)","prevalent, popular, fashionable, in vogue, spread, rage of contagious disease",top2/285.mp3
喔,"wō (喔, 喔)",particle: indicating exclamation/suggestion/mild imperative/etc.,top2/286.mp3
股市,"gǔshì (股市, 股市)","stock exchange, securities market, stock market, stock_market",top2/287.mp3
召開,"zhàokāi (召開, 召开)","convene, convoke",top2/288.mp3
運作,"yùnzuò (運作, 运作)","operate, work",top2/289.mp3
出版,"chūbǎn (出版, 出版)","come off the press, publish, come out",top2/290.mp3
藉,"jiè (藉, 藉)",depend/rely on,top2/291.mp3
觀光,"guānguāng (觀光, 观光)","rubberneck, take in, visit, sightsee, travel to, go sightseeing, tour",top2/292.mp3
降低,"jiàngdī (降低, 降低)","reduce, cut down, drop, lower",top2/293.mp3
大約,"dàyuē (大約, 大约)","about,  around,  probably,  likely",top2/294.mp3
來源,"láiyuán (來源, 来源)","resource, wellspring, origin, provenance, quarter, root, source, beginning, springhead, fodder, fount, quarry, fountain, mint, parentage, whence, paternity",top2/295.mp3
理由,"lǐyóu (理由, 理由)","excuse, reasoning, reason, wherefore, argument, meaning, account, cause, room, alibi, substance, warranty, matter, justification, occasion, score, warrant, ground, sake, why, grounds, consideration, self justification, skill",top2/296.mp3
不斷,"búduàn (不斷, 不断)","unceasing, continuous",top2/297.mp3
一點,"yīdiǎn (一點, 一点)","a little, a bit",top2/298.mp3
回答,"huídá (回答, 回答)","answer, reply",top2/299.mp3
青少年,"qīngshàonián (青少年, 青少年)","adolescent, stilyaga, teens, young person, teenager, teenagers, young people and teenagers, youths, youth, stripling, hobbledehoy, youngsters, younker",top2/300.mp3
基本,"jīběn (基本, 基本)","basic, elementary",top2/301.mp3
一般,"yībān (一般, 一般)",generally,top2/302.mp3
看看,"kànkàn (看看, 看看)","see, look at, watch, read, look upon, regard, call on, visit",top2/303.mp3
合理,"hélǐ (合理, 合理)","plausible, rational, reasonable, legitimate, equitable, sensible",top2/304.mp3
採,"cǎi (採, 采)","pick, gather",top2/305.mp3
跟,"gēn (跟, 跟)",conj.: and,top2/306.mp3
生物,"shēngwù (生物, 生物)","living thing, organism",top2/307.mp3
中華民國,"zhōnghuámínguó (中華民國, 中华民国)","Republic_of_China, Republic of China",top2/308.mp3
直到,"zhídào (直到, 直到)","until, up to",top2/309.mp3
叫,"jiào (叫, 叫)",ask,top2/310.mp3
氣,"qì (氣, 气)","air, gas, smell, atmosphere, spirit",top2/311.mp3
給予,"gěiyǔ (給予, 给予)","bring, feed, offer, afford, hold_out, impart, adduce, lend, grant, contribute, given, concede, give to, give, bestow, add, put, render, deal, ladle, administer, assign, give_in, allow",top2/312.mp3
中文,"zhōngwén (中文, 中文)","Chinese, Ch. written language, Ch. language, Sinitic",top2/313.mp3
法國,"fàguó (法國, 法国)",France,top2/314.mp3
答案,"dáàn (答案, 答案)","result, script, resolution, solution, answer, key",top2/315.mp3
規定,"guīdìng (規定, 规定)","provide, formulate, fix, set",top2/316.mp3
金融,"jīnróng (金融, 金融)","finance, banking",top2/317.mp3
週,"zhōu (週, 週)",m.[standard],top2/318.mp3
下,"xià (下, 下)","put sth. into, apply, form opinion/etc.",top2/319.mp3
農民,"nóngmín (農民, 农民)","mujik, farmhand, granger, boor, farm worker, peasantry, countrymen, farmer, agriculture, husbandman, muzhik, peasant, fieldhand, moujik, fellah, muzjik",top2/320.mp3
法令,"fǎlìng (法令, 法令)","constitution, laws, ordinance, rescript, act, law, decretal, legislation, enactment, edict, law and decrees, regulation, ukase, decrees, decree, doom, ordonnance, statute, fiat, prescript, assize, commandment, legislative act",top2/321.mp3
訊息,"xùnxí (訊息, 讯息)","communication, message, news, signal, info, data, intelligence, dispatch, information, messages, tidings, word",top2/322.mp3
公里,"gōnglǐ (公里, 公里)",m.[standard],top2/323.mp3
剛剛,"gānggāng (剛剛, 刚刚)","just now, scarcely, fresh, only, exactly, a moment ago, hardly, but, just",top2/324.mp3
紅,"hóng (紅, 红)","in vogue, famous, redden, red, popular",top2/325.mp3
較,"jiào (較, 较)",compare,top2/326.mp3
聲,"shēng (聲, 声)",m.[activity],top2/327.mp3
倍,"bèi (倍, 倍)","fold, multiplication, diameter, double, times, twice as much",top2/328.mp3
加,"jiā (加, 加)","dramatise, plant, embroider, intercalate, lard, put in, blow up, inflict, deliver, aggrandize, plus, dramatize, increase, augment, embellish, augmentation, confer, append, add, pad, summate",top2/329.mp3
民主,"mínzhǔ (民主, 民主)","democracy, democratic rights",top2/330.mp3
臺北,"táiběi (臺北, 台北)","Taibei, Taipei",top2/331.mp3
無論,"wúlùn (無論, 无论)","conj.: no matter what/how/etc., regardless",top2/332.mp3
辦公室,"bàngōngshì (辦公室, 办公室)","agency, office, authority, government agency, bureau",top2/333.mp3
一方面,"yīfāngmiàn (一方面, 一方面)","conj.: on one side,  on the one hand...,  on the other hand...,  for one thing...,  for another...",top2/334.mp3
良好,"liánghǎo (良好, 良好)","good, well",top2/335.mp3
級,"jí (級, 级)","level, rank, grade",top2/336.mp3
遊戲,"yóuxì (遊戲, 遊戏)","recreation, game",top2/337.mp3
道,"dào (道, 道)","doctrine, Daoism",top2/338.mp3
酒,"jiǔ (酒, 酒)","libation, bracer, plonk, wine, tipple, poison, pottle, spirits, creature, vin, cup, drink, hooch, arrack, medicine, alcohol, bottle, hootch, alcoholic drink, rum, bibble, potation, belly wash, alcoholic beverage, Bacchus, booze, liquor, juice, fortifier, inebriant, lotion, intoxicant",top2/339.mp3
形象,"xíngxiàng (形象, 形象)","imagery, figure, form, picture, persona, image",top2/340.mp3
跑,"pǎo (跑, 跑)","travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg",top2/341.mp3
選擇,"xuǎnzé (選擇, 选择)",choice,top2/342.mp3
導致,"dǎozhì (導致, 导致)","bring, lead, bring_about, lead to, incite, result in, conduce, bring about, produce, bring_on, render, set off, spark_off, inspire, inflict, cause, land",top2/343.mp3
提到,"tídào (提到, 提到)","mention, refer to",top2/344.mp3
氣氛,"qìfēn (氣氛, 气氛)","mood, air, look, feeling, aura, aurae, spirit, smell, genius loci, feel, flavor, atmosphere, tone, karma, ambiance, ambience",top2/345.mp3
動,"dòng (動, 动)","concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move",top2/346.mp3
院士,"yuànshì (院士, 院士)",academician,top2/347.mp3
指,"zhǐ (指, 指)",refer to,top2/348.mp3
充分,"chōngfèn (充分, 充分)","full, ample, abundant",top2/349.mp3
現代,"xiàndài (現代, 现代)",modern,top2/350.mp3
必要,"bìyào (必要, 必要)","necessary, indispensable",top2/351.mp3
生態,"shēngtài (生態, 生态)","ecological, ecosystem, biology, ecology, biota",top2/352.mp3
汽車,"qìchē (汽車, 汽车)","automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus",top2/353.mp3
例子,"lìzi (例子, 例子)","exemplification, example, representative, illustration, instance, piece, case",top2/354.mp3
有點,"yǒudiǎn (有點, 有点)","kind_of, pretty, more or less, fairly, a_little, rather, something, somewhat, a bit, to some extent",top2/355.mp3
博物館,"bówùguǎn (博物館, 博物馆)",museum,top2/356.mp3
權力,"quánlì (權力, 权力)","influence, rod, authoritativeness, clutches, whip_hand, dominance, say so, reins, force, emirate, might, pretension, station, commission, grasp, leverage, danger, authority, place, power, arm, disposal, puissance",top2/357.mp3
族群,"zúqún (族群, 族群)","clan, race, tribe, group",top2/358.mp3
媽,"mā (媽, 妈)","a form of address for a married woman one generati, mummy, mum, mother, ma, mama, mam",top2/359.mp3
牆,"qiáng (牆, 墙)",wall,top2/360.mp3
船,"chuán (船, 船)","bottom, body, ship, catcher, bow, bark, boat, shipboard, prow, watercraft, craft, drone, vessel, keel, sailer",top2/361.mp3
基金會,"jījīnhuì (基金會, 基金会)","monetary fund, fundation, foundation, fund",top2/362.mp3
詩,"shī (詩, 诗)","verse form, poem, canto, verse, rhyme, number, song, poesy, poetry",top2/363.mp3
雜誌,"zázhì (雜誌, 杂志)","journal, bulletin, mag, magazine, periodical",top2/364.mp3
生存,"shēngcún (生存, 生存)","live, exist",top2/365.mp3
且,"qiě (且, 且)",conj.:,top2/366.mp3
天,"tiān (天, 天)","sky, heaven",top2/367.mp3
小孩子,"xiǎoháizi (小孩子, 小孩子)","dot, tyke, tiddler, pickaninny, child",top2/368.mp3
大樓,"dàlóu (大樓, 大楼)","mansion, massif, hall, block, manse, edifice, building, multi storied building, residence, mansion house",top2/369.mp3
最好,"zuìhǎo (最好, 最好)","had better, it would be best",top2/370.mp3
讀書,"dúshū (讀書, 读书)","read, study, attend school",top2/371.mp3
見到,"jiàndào (見到, 见到)","see, meet, perceive",top2/372.mp3
最佳,"zuìjiā (最佳, 最佳)","first rate, best, superlative, optimum",top2/373.mp3
出去,"chūqù (出去, 出去)","go_out, go/get out, get_out, go out, get out, go, exit",top2/374.mp3
想法,"xiǎngfǎ (想法, 想法)","view, stance, mentality, idea, notion, sentiment, judgment, construct, thought, opinion, conception, viewpoint, judgement, belief, mind set, what one has in mind, persuasion, perspective, concept, mind, impression",top2/375.mp3
幫,"bāng (幫, 帮)",help,top2/376.mp3
醫生,"yīshēng (醫生, 医生)","Galen, MD, physician, Dr., medic, doc, hakeem, medico, Aesculapius, medical man, surgeon, leech, doctor",top2/377.mp3
堅持,"jiānchí (堅持, 坚持)","persist in, insist on",top2/378.mp3
創作,"chuàngzuò (創作, 创作)","creative work, creation",top2/379.mp3
廣場,"guǎngchǎng (廣場, 广场)","mews, agora, public square, concourse, carrefour, piazza, plaza, square, campus, place",top2/380.mp3
成員,"chéngyuán (成員, 成员)",member,top2/381.mp3
留下,"liúxià (留下, 留下)","stay, leave behind, leave, allocate, devote, entail, stick, stay behind, leave_behind, stay put, stick around, remain",top2/382.mp3
森林,"sēnlín (森林, 森林)","woodsy, jungle, forest, sylva, woods, wood, timberland, woodland, bocage, forestry, timber, greenwood",top2/383.mp3
算,"suàn (算, 算)","consider, regard/count as",top2/384.mp3
顆,"kē (顆, 颗)","grain, m.[general], ",top2/385.mp3
各,"gè (各, 各)","separately, differently",top2/386.mp3
男女,"nánnǔ (男女, 男女)",men and women,top2/387.mp3
特性,"tèxìng (特性, 特性)","attribute, distinctive feature, tang, a character, appanage, a characteristic, nature, trait, differentiation, data, habit, lineament, shtick, tone, distinction, identity, property, characteristic, specificity, ring, specialty, hair, character, cast, idiosyncrasy, specific, diagnosis, chemistry, feature, peculiarity, quality",top2/388.mp3
影像,"yǐngxiàng (影像, 影像)","simulacrum, blip, mental image, picture, portrait, video, image",top2/389.mp3
遭,"zāo (遭, 遭)",by,top2/390.mp3
強烈,"qiángliè (強烈, 强烈)","strong, intense, violent",top2/391.mp3
欸,"èi (欸, 欸)",mild exclamation/sigh,top2/392.mp3
解釋,"jiěshì (解釋, 解释)","explain, interpret, analyze",top2/393.mp3
儘管,"jǐnguǎn (儘管, 尽管)","conj.: even though, despite",top2/394.mp3
主動,"zhǔdòng (主動, 主动)",on one's own initiative,top2/395.mp3
演出,"yǎnchū (演出, 演出)","show, perform",top2/396.mp3
文章,"wénzhāng (文章, 文章)","nonsense, hidden meaning, writing, hidden, written material, article, implied meaning, essay, writings, literary works, patch, hidden/implied meaning",top2/397.mp3
理想,"lǐxiǎng (理想, 理想)","ideal, ",top2/398.mp3
重大,"zhòngdà (重大, 重大)","great, major, crucial, weighty, whang, fatal, significant, grave",top2/399.mp3
腳,"jiǎo (腳, 脚)","foot, leg, base",top2/400.mp3
危險,"wéixiǎn (危險, 危险)","dangerous, perilous",top2/401.mp3
背景,"bèijǐng (背景, 背景)","context, circumstance, locale, background, ground, stage setting, mise en scene, groundwork, background knowledge, frame, milieu, backcloth, scene, setting, backdrop",top2/402.mp3
不少,"bùshǎo (不少, 不少)","not few, many",top2/403.mp3
唱,"chàng (唱, 唱)","cry, chant, chirm, tune, vocalize, call, sing",top2/404.mp3
即將,"jíjiāng (即將, 即将)","in a short time, promptly, on the point of, at once, instantly, pronto, immediately, shortly, without delay, tout de suite, right away, forthwith, presently, soon, in a few seconds, before long, straightaway, in a minute, about to",top2/405.mp3
大部分,"dàbùfèn (大部分, 大部分)","det.: most of,  the majority of",top2/406.mp3
通訊,"tōngxùn (通訊, 通讯)","communication, news report, newsletter",top2/407.mp3
越來越,"yuèláiyuè (越來越, 越来越)","more_and_more, more and more",top2/408.mp3
考試,"kǎoshì (考試, 考试)","examination, test",top2/409.mp3
學期,"xuéqí (學期, 学期)","school term, semester",top2/410.mp3
反,"fǎn (反, 反)","counter, revolt, rebel, oppose, combat",top2/411.mp3
心靈,"xīnlíng (心靈, 心灵)","psychical, mind, psyche, soul, spirit, mens, heart",top2/412.mp3
獲,"huò (獲, 获)","harvest, capture, obtain, get, catch, poll, be able to, reap, gather in, win",top2/413.mp3
既然,"jìrán (既然, 既然)","conj.: since, as, now that",top2/414.mp3
設,"shè (設, 设)","set up, found",top2/415.mp3
顧客,"gùkè (顧客, 顾客)","chap, client, shopper, correspondent, constituency, patronage, trade, market, guest, clientele, newspaperman, newspaperwoman, newswriter, pressman, customer agent, customer, business",top2/416.mp3
家人,"jiārén (家人, 家人)","relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house",top2/417.mp3
組,"zǔ (組, 组)",m.[general],top2/418.mp3
紛紛,"fēnfēn (紛紛, 纷纷)","in droves, one_after_another, numerous and in great confusion",top2/419.mp3
提升,"tíshēng (提升, 提升)","promote, hoist, elevate",top2/420.mp3
搞,"gǎo (搞, 搞)","work, set up, work out, organize, cause, etc., produce a certain effect, secure, manage, get hold of, carry, produce, organization, generalized doing: do, start, get, do, be engaged in, generalized doing: work/manage/etc., make, generalized doing: do/work/manage/etc.",top2/421.mp3
隨時,"suíshí (隨時, 随时)","whenever, whene'er, always, readily, whenever necessary, at all times, as occasion demands, at any time",top2/422.mp3
譬如,"pìrú (譬如, 譬如)","for example, such as",top2/423.mp3
子女,"zǐnǔ (子女, 子女)","sons and daughters, children",top2/424.mp3
